species,clade,trait1,trait2
Taxon_01,Alpha,5.637790828453029,4.528247874727578
Taxon_02,Delta,7.640051427899632,5.591005399714549
Taxon_03,Beta,3.524837588246437,3.1680422115314104
Taxon_04,Delta,4.933886453400348,4.860588251407069
Taxon_05,Delta,6.578119427456025,6.667930464269145
Taxon_06,Gamma,7.2501179874582595,4.919000188614737
Taxon_07,Beta,3.3484836219755176,1.15350424793574
Taxon_08,Gamma,7.129429493747372,6.80781210420199
Taxon_09,Delta,7.662889496367726,6.7195918312969445
Taxon_10,Delta,6.699270759375035,4.993654213143945
Taxon_11,Delta,5.546516776141212,4.2765644464987425
Taxon_12,Beta,5.097819557481846,3.972230167198647
Taxon_13,Delta,5.519624842744491,4.903111025446989
Taxon_14,Gamma,5.433894677675903,4.598108453767766
Taxon_15,Beta,5.929368028856452,4.338794537789033
Taxon_16,Alpha,4.789548439938225,3.444352585725583
Taxon_17,Alpha,4.282687391027582,3.0824068692466295
Taxon_18,Alpha,5.081208471747023,4.568019335899961
Taxon_19,Beta,4.722606109620519,2.2293530450580676
Taxon_20,Delta,7.593707968981986,6.048658276750552
Taxon_21,Alpha,6.448083942639616,4.989343630087989
Taxon_22,Gamma,5.874357591157518,5.284457321148346
Taxon_23,Alpha,4.652927998628607,3.2147078304614944
Taxon_24,Delta,7.619885431767155,7.1437287926385
Taxon_25,Gamma,5.180527218213241,5.1551621414121
Taxon_26,Alpha,4.155940087214486,3.517659037604867
Taxon_27,Gamma,4.922157830253068,4.610699780172871
Taxon_28,Gamma,7.5659857779119015,7.2262257961089595
Taxon_29,Delta,4.825095351655451,5.609449237292334
Taxon_30,Alpha,5.4521249342968385,3.278712551004042
Taxon_31,Delta,7.2543466302239725,7.0152830781476085
Taxon_32,Delta,6.463240858017528,6.51356555305519
Taxon_33,Beta,3.853295087796834,1.2247084613795929
Taxon_34,Delta,6.012854342843338,6.7675529403643555
Taxon_35,Beta,5.258049515053487,3.6318533255010905
Taxon_36,Delta,6.756196109063962,6.4309627890008905
Taxon_37,Beta,4.370250906420675,4.787604492141764
Taxon_38,Beta,3.849718923738801,2.4056527296556522
Taxon_39,Alpha,5.31145648545518,3.6866615467846193
Taxon_40,Alpha,5.084660821577151,4.614874237627216
Taxon_41,Gamma,6.861131182621741,6.051737362290886
Taxon_42,Alpha,6.680197580577461,4.849908791993683
Taxon_43,Gamma,7.275273873224859,7.3887766211590105
Taxon_44,Delta,7.397151848719654,6.430407387183202
Taxon_45,Delta,6.93579383020479,7.258474497848535
Taxon_46,Alpha,3.642471210306856,2.6937045118225407
Taxon_47,Gamma,6.23252497229848,5.809150681905889
Taxon_48,Gamma,7.487635765381609,6.979652826619381
Taxon_49,Gamma,5.189417936232949,4.987683941864014
Taxon_50,Gamma,6.443489054369083,7.409272385213374
Taxon_51,Beta,7.189758773835644,4.905707208137273
Taxon_52,Beta,5.626305995416303,5.284902061859378
Taxon_53,Delta,6.610162261386756,7.039378221778198
Taxon_54,Gamma,7.000522485003175,6.315713500444436
Taxon_55,Alpha,5.709241466530288,4.333022631009061
Taxon_56,Alpha,5.511256748310577,4.620607728472619
Taxon_57,Alpha,4.949715070286647,4.667711817423727
Taxon_58,Alpha,4.781218209426427,2.515296890033457
Taxon_59,Alpha,4.110093922597198,2.0962394796638324
Taxon_60,Alpha,3.875532332443142,3.3554250073757426
Taxon_61,Gamma,4.654048667359868,3.977948585140492
Taxon_62,Gamma,8.286154347472241,6.822757374137751
Taxon_63,Beta,6.147290581059869,5.633772797231977
Taxon_64,Alpha,6.123926196416882,2.403842708085173
Taxon_65,Gamma,7.700040478970722,8.975361155798312
Taxon_66,Alpha,4.139441366148287,1.7244475478346108
Taxon_67,Delta,6.697090437267123,6.5459699350670375
Taxon_68,Alpha,6.182421179044992,4.8673722128444465
Taxon_69,Alpha,5.57499180146774,4.229297642050944
Taxon_70,Delta,6.626019689013534,6.834237196018584
Taxon_71,Gamma,8.192362868249404,7.00248355314655
Taxon_72,Gamma,4.646232113471498,4.183600213023635
Taxon_73,Alpha,4.857302479088353,3.281860179824834
Taxon_74,Beta,4.977186158987838,3.0464008608818625
Taxon_75,Alpha,6.344960630827981,4.203276652631497
Taxon_76,Gamma,7.000364787781989,7.059355192168144
Taxon_77,Alpha,5.874333025406886,4.9720462833768915
Taxon_78,Gamma,7.796403639390535,8.072902230857967
Taxon_79,Gamma,4.979077418504398,4.107582049268431
Taxon_80,Gamma,7.7660070788942965,6.248419322776973
